tweet,label
 #Baahubali Official merchandise by @Paintcollar. Grab here--&gt,0
#Bahubali2  Malayalam version is the second biggest release there over 14 locations its releasing at Ireland,1
@SalmanAabdi @taran_adarsh tubelight only for Bollywood people will interest but Bahubali2 whole India and out of India awaiting for this,1
#TamannaahBhatia #Bahubali2 inspired collection #Bahubali2TheConclusion https://t.co/VaEWX8NByK,1
All Set for #Bahubali2 @Urvashi4KCinema  4 AM show,1
#Bahubali2 @ssrajamouliBe united!! Don't release any south Indian movie in Karnataka. Protest will automatically stop..,0
"This is gonna be epic ��� #Bahubali2 
https://t.co/OLmYSGTbrP",1
"Casual leave application Sir...... ����

#Bahubali2 https://t.co/b0njfvWW9i",1
"#Bahubali2 craze reaches hight at #Kerala 

Never scence this much of mass for a #movie other than #malayalam actor… https://t.co/0toWejdlZV",1
"Prabhas's #Saaho : Teaser from April 28 along with #Bahubali2  

Trilingual - Tamil, Telugu, Hindi. https://t.co/eeM56alQ6Z",0
 Friends will u watch #Bahubali2 in theater,1
 Day1 90L weekend 1.40cr week1 1.90cr closing 3cr+ Sure�� Only @ KKD CITY #Bahubali2  First week ki BB1 closing out...,0
#Bahubali2 waiting,1
@ssrajamouli @BaahubaliMovie why there is no 4K trailer and other attractions for #Bahubali2 #APRIL28 #INDIANCINEMA,0
"Many colleagues applying this Friday. Reason for leave column says : ""To find out why the hell kattapa killed bahubali"" � #Bahubali2 #Sarcasm",1
#Bahubali2 fever starts,1
"#Bahubali2 Worldwide PreRelease Business 520 Cr incl thr rights!

#SaahoreRajaMouli �",0
" #Bahubali2
Day1 #kkd city above 90+ lks 
Day1 ee top10 lo untadi ��
Juz #SSR things ��",0
 #Bahubali2 the film is not a hindi or a telugu or a tamil film it is a INDIAN film,0
@ssrajamouli my Friday fever became monday fever to book ticket sir. Soon start selling tickets #Bahubali2,1
" Summer is coming up with lot's of expectations. You are waiting for? 
#Thalapathy61 title 
#Vivegamteaser 
#Bahubali2…",1
#Bahubali2 Minimum price that the film will have for the Balcony tickets is 150 to 250 rupees,0
#Baahubali all versions have done over 55 croes at the USA box office 8.45 million #Bahubali2 should do much much more better,0
"Leave reason ��
#Bahubali2 #telugu #jaabilamma https://t.co/TkottUYOpi",1
" Wow this is  tammy �� season:
#Bahubali2 April release
#AAAfilm part 1 from #Ramadan 
#PonOndruKanden
#sketch 
� #Milkyb…",1
"@doct_manu Not available currently, within a day or two an offer will be there for tickets!! Katappa is g… https://t.co/eWCExXamxV",0
@RanaDaggubati @ssrajamouli @ssk1122 #Bahubali2 fever starts....All the best Sir https://t.co/BDsjkprINF,1
"@CatchNews @BaahubaliMovie @SpiceSocial1 #Bahubali2 

  A5).  Around Rs. 450 Crores",0
" Bahubali First day World wide Gross????
#Bahubali2 #Thalapathy61 #Vivegam #Mahesh23 #KatamaRayudu",1
#Baahubali Official merchandise by @Paintcollar. Grab here--&gt,0
As expected till Monday all blocked sorry it's booked #Bahubali2 https://t.co/8lZu5T6eJZ,1
#Saaho get redey to get a glimpse of this film as well while watching the epic #Bahubali2  #Saaho teaser worldwide with Bahubali 2,1
" Win 50 bahubali2 free movie tickets. Enter now at: https://t.co/CD7h2X3jhD 

#bahubali #movieticket #contest #offer #baahu…",0
" #Bahubali2 Booking started with 8 shows for 28th
Tamil 6 S
Malayalam 2 S
Now
#RakshadhikariBaijuOppu 3 S
#Saghavu 3 S…",0
@book my show when will tickets be allotted for prebooked registrations for #Bahubali2 ??,1
#Bahubali2 Bangalore ticket prices are reaching Sky-high.,1
 This is one movie I don't wanna miss. Best wishes for a spectacular opening !  @ssrajamouli @Shobu_ @karanjohar @apoorvam…,1
#Bahubali2 countdown is equal to my finals countdown..just that one gives you excitement,1
"Royal King is back ! BaahubaliReturns in style! 

#Bahubali2 #SaahoreBaahubali  #AnushkaShetty #Prabhas… https://t.co/GueLAsbwNj",1
"4 days to go #Bahubali2  the conclusion 
Waiting for ur Creations @ssrajamouli @RanaDaggubati @prabhas https://t.co/lpoF33HFdv",1
