tweet,label,
 #Baahubali Official merchandise by @Paintcollar. Grab here--&gt,0,
#Bahubali2  Malayalam version is the second biggest release there over 14 locations its releasing at Ireland,1,
@SalmanAabdi @taran_adarsh tubelight only for Bollywood pple will interest but Bahubali2 whole India and out of India awaiting for ths,1,
tweet,0,
"@FilmyCurry #ContestAlert #Bahubali2WithFC #FilmyCurry #Bahubali2 
     
A2) S.S. RAJAMOULI",0,
"#TamannaahBhatia #Bahubali2 inspired collection 
#Bahubali2TheConclusion 
https://t.co/VaEWX8NByK",1,
All Set for #Bahubali2 @Urvashi4KCinema  4 AM show,1,
#Bahubali2 @ssrajamouliBe united!! Don't release any south Indian movie in Karnataka. Protest will automatically stop..,0,
"This is gonna be epic ��� #Bahubali2 
https://t.co/OLmYSGTbrP",1,
"Casual leave application Sir...... ����

#Bahubali2 https://t.co/b0njfvWW9i",0,
@JioMusicHD @BuzzingTracks @Rajamouli_Fans @BaahubaliMovie @bahubali_fans @Prabhas_Fans @Darling_PFC @telugu_jokes… https://t.co/I3sRKIcxgY,0,
"#Bahubali2 craze reaches hight at #Kerala 

Never scence this much of mass for a #movie other than #malayalam actor… https://t.co/0toWejdlZV",1,
" Best SOUTH Actresses ��

#Kajal #Trisha  #Vijay61 #Vivegam #Bahubali2 #Spyder #DJ23rdJune",0,
"Prabhas's #Saaho : Teaser from April 28 along with #Bahubali2  

Trilingual - Tamil, Telugu, Hindi. https://t.co/eeM56alQ6Z",0,
 Friends will u watch #Bahubali2 in theatre,1,
" Day1 90L weekend 1.40cr week1 1.90cr closing 3cr+ Sure��
Only 
@ KKD CITY
#Bahubali2 
First week ki BB1 closing out...",0,
#Bahubali2 waiting,1,
@ssrajamouli @BaahubaliMovie why there is no 4K trailer and other attractions for #BB2 #Bahubali2 #wkkb #APRIL28 #INDIANCINEMA,0,
"Many colleagues applying this Friday. Reason for leave column says : ""To find out y the hell kattapa killed bahubali"" � #Bahubali2 #Sarcasm",1,
#Bahubali2 fever starts,1,
"My prediction on bb2 day 1 share in ap/tg
NIZAM-10
CEEDED-8
NELLORE-3
GUNTUR-7
KRISHNA-4.5
EAST-6
WEST-4.5
VIZAG-6
TOTAL-49
#Bahubali2",0,
"#Bahubali2 Worldwide PreRelease Business 520 Cr incl thr rights!

#SaahoreRajaMouli �",0,
" #Bahubali2
Day1 #kkd city above 90+ lks 
Day1 ee top10 lo untadi ��
Juz #SSR things ��",0,
 #Bahubali2 the film is not a hindi or a telugu or a tamil film it is a INDIAN film,0,
@ssrajamouli my Friday fever became monday fever to book ticket sir. Soon start selling tickets #Bahubali2,1,
" Summer is coming up with lot's of expectations. You are waiting for? 
#Thalapathy61 title 
#Vivegamteaser 
#Bahubali2…",1,
#Bahubali2 Minimum price that the film will have for the Balcony tickets is 150 to 250 rupees,0,
#Baahubali all versions have done over 55 croes at the USA box office 8.45 milliom #Bahubali2 should do much much more better,0,
Did Vaatal Nagaraj threaten google??? #Bahubali2 @ssrajamouli @thatsTamil @Sibi_Sathyaraj @dinamalarweb @vikatan… https://t.co/8RrSvHHBYz,0,
"Leave reason ��
#Bahubali2 #telugu #jaabilamma https://t.co/TkottUYOpi",1,
"Perfect  Pair for #KajalAgarwal on Big Screen [TFI] ��

#Spyder #JaiLavaKusa #Bahubali2 #RamCharan #Vijay61 #Vivegam #Kajal",0,
" Wow this is  tammy �� season:
#Bahubali2 April release
#AAAfilm part 1 from #Ramadan 
#PonOndruKanden
#sketch 
� #Milkyb…",1,
"@doct_manu Not available currently, within a day or two an offer will be there for tickets!! Waise bhi Katappa is g… https://t.co/eWCExXamxV",0,
@RanaDaggubati @ssrajamouli @ssk1122 #Bahubali2 fever starts....All the best Sir https://t.co/BDsjkprINF,1,
"@CatchNews @BaahubaliMovie @SpiceSocial1 #Bahubali2 

  A5).  Around Rs. 450 Crores",0,
" Bahubali First day Ww Gross????
#Bahubali2 #Thalapathy61 #Vivegam #Mahesh23 #KatamaRayudu",1,
#Baahubali Official merchandise by @Paintcollar. Grab here--&gt,0,0
